,Цена за метр^2,Площадь лог,Округ,Район,Первый этаж,Последний этаж,Расстояние до метро (ед),Расстояние указано пешком,Расстояние указано на транспорте,Указан раздельный санузел,Несколько санузлов,Балкон указан,Окна во двор,Наличие ремонта,Возраст дома,Доля жилой площади,Доля куханной площади
0,181515.15151515152,3.4965075614664802,ВАО,р-н Гольяново,False,True,15,True,False,False,False,False,True,False,51.0,0.48484848484848486,0.21212121212121213
1,212187.5,3.4657359027997265,ЮЗАО,р-н Зюзино,False,False,12,True,False,False,False,True,False,True,57.0,0.6875,0.1875
2,217878.78787878787,3.4965075614664802,ЗАО,р-н Кунцево,False,True,15,True,False,False,False,False,True,True,52.0,0.5909090909090909,0.21515151515151515
3,238807.6923076923,3.258096538021482,ВАО,р-н Гольяново,False,False,8,True,False,False,False,False,True,True,,0.5961538461538461,0.23076923076923078
4,193636.36363636365,3.4965075614664802,ВАО,р-н Гольяново,False,True,15,True,False,False,False,False,True,True,51.0,0.48484848484848486,0.18181818181818182
5,199971.42857142858,3.5553480614894135,СЗАО,р-н Покровское-Стрешнево,False,False,15,True,False,True,False,True,True,True,58.0,0.6571428571428571,0.17142857142857143
6,217611.94029850746,3.5115454388310208,ЮАО,р-н Чертаново Северное,False,False,16,True,False,False,False,True,False,True,51.0,0.5373134328358209,0.208955223880597
7,190600.0,3.4011973816621555,НАО (Новомосковский),Сосенское поселение,False,False,15,True,False,False,False,True,True,False,,0.6533333333333334,0.08333333333333333
8,91896.55172413794,3.5496173867804286,ТАО (Троицкий),Новофедоровское поселение,False,False,58,False,True,False,False,False,True,True,,0.5201149425287357,0.31034482758620696
9,191666.66666666666,2.4849066497880004,ЮАО,р-н Даниловский,False,False,3,True,False,False,False,False,True,True,,0.8333333333333334,
10,208695.65217391305,3.5409593240373143,ВАО,р-н Восточное Измайлово,False,False,17,True,False,False,False,True,True,True,36.0,0.5652173913043478,0.2782608695652174
11,190000.0,2.70805020110221,ЮАО,р-н Даниловский,False,False,3,True,False,False,False,False,True,True,,0.8466666666666666,
12,147368.42105263157,2.9444389791664403,ЮВАО,р-н Некрасовка,False,False,5,True,False,True,False,False,True,False,,0.7789473684210527,0.10526315789473684
13,208823.5294117647,2.833213344056216,СВАО,р-н Марфино,False,False,4,False,True,False,False,False,False,False,,0.8235294117647058,0.17647058823529413
14,186335.40372670806,2.7788192719904172,ЮВАО,р-н Марьино,False,False,15,True,False,False,False,False,False,True,,0.7453416149068323,0.24844720496894407
15,160869.5652173913,3.1354942159291497,ЮАО,р-н Братеево,True,False,1,False,True,False,False,False,False,True,35.0,,
16,175510.20408163266,3.1986731175506815,НАО (Новомосковский),Марушкинское поселение,False,False,1,False,True,False,False,False,False,True,,0.7346938775510204,0.08163265306122448
17,190000.0,2.995732273553991,ЮАО,р-н Даниловский,False,False,3,True,False,False,False,False,True,True,,0.86,
18,242138.36477987422,2.766319109226186,ЮАО,р-н Москворечье-Сабурово,True,False,1,False,True,False,False,True,False,True,,,
19,208860.7594936709,3.1654750481410856,НАО (Новомосковский),Коммунарка поселок,False,False,1,False,True,False,False,False,False,True,,,
20,203846.15384615384,3.258096538021482,НАО (Новомосковский),Московский поселение,False,False,12,False,True,True,False,True,False,False,,0.4846153846153846,
21,145714.2857142857,3.5553480614894135,ЮАО,р-н Бирюлево Восточное,True,False,15,False,True,False,False,True,False,True,,0.5428571428571428,0.2
22,160409.55631399318,3.3775875160230218,НАО (Новомосковский),Сосенское поселение,False,False,10,False,True,False,False,True,True,False,,0.49829351535836175,0.1945392491467577
23,160000.0,3.5553480614894135,НАО (Новомосковский),Сосенское поселение,False,False,15,False,True,False,False,True,True,False,,0.5428571428571428,0.3142857142857143
24,186206.89655172414,3.367295829986474,НАО (Новомосковский),Десеновское поселение,False,False,13,False,True,False,False,True,False,True,,,
25,225531.914893617,3.1570004211501135,ЦАО,р-н Таганский,True,False,5,False,True,False,False,True,False,True,,,
26,219607.8431372549,3.2386784521643803,НАО (Новомосковский),Сосенское поселение,False,False,3,False,True,False,False,False,False,True,,0.6274509803921569,0.1568627450980392
27,285000.0,2.995732273553991,НАО (Новомосковский),Московский поселение,False,False,5,False,True,True,False,True,False,True,,,
28,168285.7142857143,3.5553480614894135,САО,р-н Восточное Дегунино,False,False,20,True,False,False,False,True,False,False,48.0,0.5657142857142857,0.18285714285714286
29,186708.86075949366,3.4531571205928664,ВАО,р-н Ивановское,False,False,10,False,True,False,False,True,False,True,47.0,,0.2531645569620253
30,198653.19865319866,3.391147045808654,НАО (Новомосковский),Сосенское поселение,False,False,2,False,True,False,False,True,False,False,,0.4377104377104377,0.2996632996632997
31,210714.2857142857,3.332204510175204,НАО (Новомосковский),Десеновское поселение,False,False,1,False,True,False,False,True,False,True,,,
32,226923.07692307694,3.258096538021482,НАО (Новомосковский),Сосенское поселение,False,False,1,False,True,False,False,False,False,True,,,
33,171428.57142857142,3.5553480614894135,НАО (Новомосковский),Щербинка,False,False,1,False,True,True,False,True,False,True,7.0,0.5142857142857142,0.22857142857142856
34,194888.17891373803,3.4436180975461075,ЮВАО,р-н Некрасовка,False,False,1,False,True,True,False,True,False,True,3.0,,
35,188821.75226586103,3.4995332823830174,ЮВАО,р-н Кузьминки,False,False,1,False,True,False,False,False,False,True,53.0,0.5740181268882175,0.20543806646525678
36,179411.76470588235,3.5263605246161616,ЮАО,р-н Нагорный,True,False,2,False,True,False,False,False,False,True,58.0,0.5,0.17647058823529413
37,265236.05150214594,3.1484533605716547,НАО (Новомосковский),Сосенское поселение,False,False,1,False,True,True,False,True,False,True,,,0.2575107296137339
38,185502.95857988167,3.520460802488973,НАО (Новомосковский),Внуковское поселение,False,False,11,False,True,False,False,True,False,True,3.0,,0.2958579881656805
39,180000.0,3.5553480614894135,НАО (Новомосковский),Коммунарка поселок,False,False,16,False,True,False,False,True,False,True,3.0,,
40,203125.0,3.4657359027997265,САО,р-н Коптево,False,False,5,False,True,True,False,True,True,True,55.0,0.5625,0.1875
41,201562.5,3.4657359027997265,ЮВАО,р-н Выхино-Жулебино,False,True,7,False,True,False,False,True,False,True,53.0,,
42,207120.74303405575,3.475067230228611,ЮЗАО,р-н Зюзино,False,False,1,False,True,False,False,True,False,True,56.0,0.6749226006191952,0.16099071207430343
43,211009.1743119266,3.487375077903208,ЮВАО,р-н Выхино-Жулебино,False,False,1,False,True,True,False,True,False,True,53.0,0.5718654434250764,0.20489296636085624
44,209090.9090909091,3.4965075614664802,САО,р-н Западное Дегунино,False,False,6,True,False,False,False,True,False,False,,0.6060606060606061,0.30303030303030304
45,197142.85714285713,3.5553480614894135,ЮВАО,р-н Кузьминки,False,False,1,False,True,True,False,True,False,True,54.0,0.5714285714285714,0.2857142857142857
46,212765.95744680852,3.493472657771326,ВАО,р-н Вешняки,False,False,1,False,True,False,False,False,False,True,49.0,0.5744680851063829,0.20364741641337386
47,208823.5294117647,3.5263605246161616,СЗАО,р-н Южное Тушино,False,False,1,False,True,False,False,True,False,True,30.0,0.5735294117647058,0.2823529411764706
48,209912.5364431487,3.535145354171894,ВАО,р-н Восточное Измайлово,False,False,1,False,True,True,False,True,False,True,36.0,0.5539358600583091,
49,216763.0057803468,3.543853682063679,САО,р-н Хорошевский,False,False,3,False,True,False,False,True,False,True,43.0,0.5635838150289018,0.2774566473988439
50,217142.85714285713,3.5553480614894135,СВАО,р-н Бутырский,True,False,1,False,True,False,False,True,False,True,39.0,0.5428571428571428,0.2857142857142857
51,245161.29032258064,3.4339872044851463,СЗАО,р-н Щукино,False,False,15,True,False,False,False,True,False,True,59.0,0.5806451612903226,0.1935483870967742
52,218390.80459770118,3.5496173867804286,ЮВАО,р-н Кузьминки,False,True,1,False,True,False,False,True,False,True,53.0,,
53,237654.32098765433,3.4781584227982836,ЗАО,р-н Фили-Давыдково,False,False,15,True,False,False,False,False,False,True,47.0,0.5802469135802469,0.1851851851851852
54,240625.0,3.4657359027997265,ЗАО,р-н Раменки,False,False,1,False,True,True,False,True,False,True,48.0,0.53125,0.265625
55,228285.7142857143,3.5553480614894135,ЮАО,р-н Орехово-Борисово Южное,False,False,1,False,True,False,False,True,False,True,45.0,0.5485714285714286,0.2571428571428571
56,262820.5128205128,3.4404180948154366,ЮАО,р-н Нагатинский затон,False,False,5,False,True,True,False,True,False,True,54.0,0.576923076923077,0.2884615384615385
57,280528.05280528055,3.4111477125153233,ЮЗАО,р-н Черемушки,False,False,5,False,True,False,False,True,False,True,59.0,0.6270627062706271,0.16501650165016502
58,283018.8679245283,3.459466289786131,САО,р-н Савеловский,True,False,1,False,True,False,False,False,False,True,59.0,,0.22012578616352202
59,285294.1176470588,3.5263605246161616,СВАО,р-н Отрадное,False,False,10,True,False,False,False,False,False,True,,0.29411764705882354,0.4117647058823529
60,285294.1176470588,3.5263605246161616,СВАО,р-н Отрадное,False,False,10,True,False,False,False,False,False,True,,0.4117647058823529,0.35294117647058826
61,284883.72093023255,3.5380565643793527,ЮВАО,р-н Южнопортовый,False,False,1,False,True,False,False,True,False,True,53.0,,
62,416666.6666666667,3.1780538303479458,ЦАО,р-н Замоскворечье,False,False,2,True,False,False,False,False,True,False,,0.875,
63,371747.2118959108,3.292126286607793,СВАО,р-н Марьина роща,False,False,1,False,True,False,False,True,False,False,,0.724907063197026,
64,295000.0,3.5295905964305545,ЗАО,р-н Можайский,False,False,12,True,False,False,False,True,True,True,1.0,0.48079742011140425,0.25798885957197304
65,397350.99337748345,3.407841924380824,ЦАО,р-н Пресненский,False,True,10,True,False,False,False,True,True,False,60.0,,
66,163000.0,2.917770732084279,СВАО,р-н Ярославский,False,False,7,False,True,False,False,False,False,True,,0.5621621621621622,0.10810810810810811
67,208250.0,2.4849066497880004,ЮВАО,р-н Марьино,True,False,6,False,True,False,False,False,True,True,,0.75,0.16666666666666666
68,163000.0,2.9444389791664403,СВАО,р-н Ярославский,False,False,7,False,True,False,False,False,False,True,,0.5578947368421052,0.10526315789473684
