,Округ,Район,Площадь,Площадь лог,Кол-во комнат,Этаж,Этажей в доме,Первый этаж,Последний этаж,Метро,Расстояние до метро (ед),Расстояние указано пешком,Расстояние указано на транспорте,Тип дома,Указан раздельный санузел,Несколько санузлов,Балкон указан,Окна,Окна во двор,Ремонт,Наличие ремонта,Возраст дома,Доля жилой площади,Доля куханной площади,Площадь кухни
0,ВАО,р-н Гольяново,33.0,3.4965075614664802,1,9.0,9.0,False,True,Первомайская,15,True,False,Монолитный,False,False,False,Во двор,True,Без ремонта,False,51.0,0.48484848484848486,0.21212121212121213,7.0
1,ЮЗАО,р-н Зюзино,32.0,3.4657359027997265,1,4.0,9.0,False,False,Чертановская,12,True,False,Блочный,False,False,True,,False,Косметический,True,57.0,0.6875,0.1875,6.0
2,ЗАО,р-н Кунцево,33.0,3.4965075614664802,1,9.0,9.0,False,True,Молодежная,15,True,False,Панельный,False,False,False,Во двор,True,Дизайнерский,True,52.0,0.5909090909090909,0.21515151515151515,7.1
3,ВАО,р-н Гольяново,26.0,3.258096538021482,СиА,2.0,27.0,False,False,Локомотив,8,True,False,,False,False,False,Во двор,True,Косметический,True,,0.5961538461538461,0.23076923076923078,6.0
4,ВАО,р-н Гольяново,33.0,3.4965075614664802,1,9.0,9.0,False,True,Первомайская,15,True,False,Монолитный,False,False,False,Во двор,True,Дизайнерский,True,51.0,0.48484848484848486,0.18181818181818182,6.0
5,СЗАО,р-н Покровское-Стрешнево,35.0,3.5553480614894135,2,3.0,5.0,False,False,Щукинская,15,True,False,Кирпичный,True,False,True,Во двор,True,Косметический,True,58.0,0.6571428571428571,0.17142857142857143,6.0
6,ЮАО,р-н Чертаново Северное,33.5,3.5115454388310208,1,4.0,9.0,False,False,Пражская,16,True,False,Панельный,False,False,True,,False,Дизайнерский,True,51.0,0.5373134328358209,0.208955223880597,7.0
7,НАО (Новомосковский),Сосенское поселение,30.0,3.4011973816621555,СиА,7.0,16.0,False,False,Коммунарка,15,True,False,Монолитный,False,False,True,Во двор,True,Без ремонта,False,,0.6533333333333334,0.08333333333333333,2.5
8,ТАО (Троицкий),Новофедоровское поселение,34.8,3.5496173867804286,1,2.0,3.0,False,False,Тропарево,58,False,True,Монолитный,False,False,False,Во двор,True,Косметический,True,,0.5201149425287357,0.31034482758620696,10.8
9,ЮАО,р-н Даниловский,12.0,2.4849066497880004,СиА,3.0,5.0,False,False,Технопарк,3,True,False,Монолитно кирпичный,False,False,False,На улицу и двор,True,Дизайнерский,True,,0.8333333333333334,,
10,ВАО,р-н Восточное Измайлово,34.5,3.5409593240373143,1,4.0,16.0,False,False,Первомайская,17,True,False,Панельный,False,False,True,Во двор,True,Косметический,True,36.0,0.5652173913043478,0.2782608695652174,9.6
11,ЮАО,р-н Даниловский,15.0,2.70805020110221,СиА,4.0,5.0,False,False,Технопарк,3,True,False,Монолитно кирпичный,False,False,False,На улицу и двор,True,Дизайнерский,True,,0.8466666666666666,,
12,ЮВАО,р-н Некрасовка,19.0,2.9444389791664403,СиА,2.0,17.0,False,False,Лухмановская,5,True,False,Панельный,True,False,False,Во двор,True,Без ремонта,False,,0.7789473684210527,0.10526315789473684,2.0
13,СВАО,р-н Марфино,17.0,2.833213344056216,СиА,2.0,5.0,False,False,Владыкино,4,False,True,,False,False,False,,False,Без ремонта,False,,0.8235294117647058,0.17647058823529413,3.0
14,ЮВАО,р-н Марьино,16.1,2.7788192719904172,СиА,2.0,22.0,False,False,Марьино,15,True,False,Панельный,False,False,False,,False,Косметический,True,,0.7453416149068323,0.24844720496894407,4.0
15,ЮАО,р-н Братеево,23.0,3.1354942159291497,СиА,1.0,14.0,True,False,Алма-Атинская,1,False,True,Панельный,False,False,False,,False,Косметический,True,35.0,,,
16,НАО (Новомосковский),Марушкинское поселение,24.5,3.1986731175506815,СиА,4.0,7.0,False,False,Киевская,1,False,True,,False,False,False,,False,Косметический,True,,0.7346938775510204,0.08163265306122448,2.0
17,ЮАО,р-н Даниловский,20.0,2.995732273553991,СиА,4.0,5.0,False,False,Технопарк,3,True,False,Монолитно кирпичный,False,False,False,Во двор,True,Дизайнерский,True,,0.86,,
18,ЮАО,р-н Москворечье-Сабурово,15.9,2.766319109226186,СиА,1.0,17.0,True,False,Кантемировская,1,False,True,,False,False,True,,False,Евроремонт,True,,,,
19,НАО (Новомосковский),Коммунарка поселок,23.7,3.1654750481410856,СиА,5.0,12.0,False,False,Бунинская аллея,1,False,True,,False,False,False,,False,Косметический,True,,,,
20,НАО (Новомосковский),Московский поселение,26.0,3.258096538021482,СиА,8.0,20.0,False,False,Говорово,12,False,True,,True,False,True,,False,Без ремонта,False,,0.4846153846153846,,
21,ЮАО,р-н Бирюлево Восточное,35.0,3.5553480614894135,1,1.0,12.0,True,False,Царицыно,15,False,True,,False,False,True,,False,Косметический,True,,0.5428571428571428,0.2,7.0
22,НАО (Новомосковский),Сосенское поселение,29.3,3.3775875160230218,СиА,5.0,16.0,False,False,Коммунарка,10,False,True,,False,False,True,Во двор,True,Без ремонта,False,,0.49829351535836175,0.1945392491467577,5.7
23,НАО (Новомосковский),Сосенское поселение,35.0,3.5553480614894135,1,5.0,16.0,False,False,Коммунарка,15,False,True,,False,False,True,Во двор,True,Без ремонта,False,,0.5428571428571428,0.3142857142857143,11.0
24,НАО (Новомосковский),Десеновское поселение,29.0,3.367295829986474,СиА,4.0,17.0,False,False,Коммунарка,13,False,True,,False,False,True,,False,Косметический,True,,,,
25,ЦАО,р-н Таганский,23.5,3.1570004211501135,СиА,1.0,12.0,True,False,Римская,5,False,True,,False,False,True,,False,Дизайнерский,True,,,,
26,НАО (Новомосковский),Сосенское поселение,25.5,3.2386784521643803,СиА,4.0,15.0,False,False,Коммунарка,3,False,True,,False,False,False,,False,Косметический,True,,0.6274509803921569,0.1568627450980392,4.0
27,НАО (Новомосковский),Московский поселение,20.0,2.995732273553991,СиА,8.0,25.0,False,False,Саларьево,5,False,True,,True,False,True,,False,Евроремонт,True,,,,
28,САО,р-н Восточное Дегунино,35.0,3.5553480614894135,1,2.0,9.0,False,False,Селигерская,20,True,False,Панельный,False,False,True,На улицу,False,Без ремонта,False,48.0,0.5657142857142857,0.18285714285714286,6.4
29,ВАО,р-н Ивановское,31.6,3.4531571205928664,1,10.0,12.0,False,False,Новогиреево,10,False,True,Панельный,False,False,True,,False,Косметический,True,47.0,,0.2531645569620253,8.0
30,НАО (Новомосковский),Сосенское поселение,29.7,3.391147045808654,СиА,3.0,12.0,False,False,Коммунарка,2,False,True,,False,False,True,,False,Без ремонта,False,,0.4377104377104377,0.2996632996632997,8.9
31,НАО (Новомосковский),Десеновское поселение,28.0,3.332204510175204,СиА,2.0,17.0,False,False,Ольховая,1,False,True,,False,False,True,,False,Косметический,True,,,,
32,НАО (Новомосковский),Сосенское поселение,26.0,3.258096538021482,СиА,7.0,15.0,False,False,Коммунарка,1,False,True,,False,False,False,,False,Евроремонт,True,,,,
33,НАО (Новомосковский),Щербинка,35.0,3.5553480614894135,1,12.0,16.0,False,False,Бунинская аллея,1,False,True,Монолитный,True,False,True,,False,Евроремонт,True,7.0,0.5142857142857142,0.22857142857142856,8.0
34,ЮВАО,р-н Некрасовка,31.3,3.4436180975461075,1,7.0,17.0,False,False,Некрасовка,1,False,True,Панельный,True,False,True,,False,Евроремонт,True,3.0,,,
